_id,Quarter,HB,HBT,HBTQF,CancerType,CancerTypeQF,NumberOfEligibleReferrals31DayStandard,NumberOfEligibleReferrals31DayStandardQF,NumberOfEligibleReferralsTreatedWithin31Days,NumberOfEligibleReferralsTreatedWithin31DaysQF
5578,2015Q2,S08000024,S92000003,d,Head & Neck,"",381,"",375,""
5579,2015Q2,S08000024,S92000003,d,Lung,"",30,"",31,""
5580,2015Q2,S08000024,S92000003,d,Lymphoma,"",388,"",382,""
5581,2015Q2,S08000024,S92000003,d,Melanoma,"",455,"",455,""
5582,2015Q2,S08000024,S92000003,d,Ovarian,"",53,"",68,""
5583,2015Q2,S08000024,S92000003,d,Upper GI,"",424,"",417,""
5584,2015Q2,S08000024,S92000003,d,Urological,"",78,"",46,""
5585,2015Q2,S08000024,S92000003,d,All Cancer Types,d,552,"",532,""
5586,2015Q2,S08000025,S08000020,"",Breast,"",1,"",2,""
5587,2015Q2,S08000025,S08000020,"",Colorectal,"",1,"",2,""
5588,2015Q2,S08000025,S08000020,"",Lung,"",1,"",2,""
5589,2015Q2,S08000025,S08000020,"",All Cancer Types,d,260,"",265,""
5590,2015Q2,S08000025,S08000025,"",Colorectal,"",260,"",265,""
5591,2015Q2,S08000025,S08000025,"",Lymphoma,"",1,"",2,""
5592,2015Q2,S08000025,S08000025,"",Upper GI,"",1,"",2,""
5593,2015Q2,S08000025,S08000025,"",All Cancer Types,d,423,"",424,""
5594,2015Q2,S08000025,S92000003,d,Breast,"",1,"",2,""
5595,2015Q2,S08000025,S92000003,d,Colorectal,"",352,"",353,""
5596,2015Q2,S08000025,S92000003,d,Lung,"",1,"",2,""
5597,2015Q2,S08000025,S92000003,d,Lymphoma,"",1,"",2,""
5598,2015Q2,S08000025,S92000003,d,Upper GI,"",1,"",2,""
5599,2015Q2,S08000025,S92000003,d,All Cancer Types,d,538,"",527,""
5600,2015Q2,S08000026,S08000020,"",Lymphoma,"",1,"",2,""
5601,2015Q2,S08000026,S08000020,"",Melanoma,"",1,"",2,""
5602,2015Q2,S08000026,S08000020,"",Upper GI,"",1,"",2,""
5603,2015Q2,S08000026,S08000020,"",All Cancer Types,d,260,"",265,""
5604,2015Q2,S08000026,S08000026,"",Breast,"",352,"",353,""
5605,2015Q2,S08000026,S08000026,"",Lung,"",1,"",2,""
5606,2015Q2,S08000026,S08000026,"",Melanoma,"",260,"",265,""
5607,2015Q2,S08000026,S08000026,"",Ovarian,"",1,"",2,""
5608,2015Q2,S08000026,S08000026,"",Upper GI,"",1,"",2,""
5609,2015Q2,S08000026,S08000026,"",Urological,"",352,"",353,""
5610,2015Q2,S08000026,S08000026,"",All Cancer Types,d,53,"",68,""
5611,2015Q2,S08000026,S92000003,d,Breast,"",352,"",353,""
5612,2015Q2,S08000026,S92000003,d,Lung,"",1,"",2,""
5613,2015Q2,S08000026,S92000003,d,Lymphoma,"",1,"",2,""
5614,2015Q2,S08000026,S92000003,d,Melanoma,"",352,"",353,""
5615,2015Q2,S08000026,S92000003,d,Ovarian,"",1,"",2,""
5616,2015Q2,S08000026,S92000003,d,Upper GI,"",157,"",158,""
5617,2015Q2,S08000026,S92000003,d,Urological,"",352,"",353,""
5618,2015Q2,S08000026,S92000003,d,All Cancer Types,d,121,"",129,""
5619,2015Q2,S08000028,S08000022,"",Colorectal,"",260,"",158,""
5620,2015Q2,S08000028,S08000022,"",Head & Neck,"",1,"",2,""
5621,2015Q2,S08000028,S08000022,"",Lung,"",260,"",265,""
5622,2015Q2,S08000028,S08000022,"",Upper GI,"",1,"",2,""
5623,2015Q2,S08000028,S08000022,"",All Cancer Types,d,538,"",504,""
5624,2015Q2,S08000028,S08000028,"",Head & Neck,"",1,"",2,""
5625,2015Q2,S08000028,S08000028,"",Lung,"",260,"",265,""
5626,2015Q2,S08000028,S08000028,"",Melanoma,"",157,"",158,""
5627,2015Q2,S08000028,S08000028,"",Upper GI,"",260,"",265,""
5628,2015Q2,S08000028,S08000028,"",Urological,"",1,"",2,""
5629,2015Q2,S08000028,S08000028,"",All Cancer Types,d,2,"",3,""
5630,2015Q2,S08000028,S08000031,"",Head & Neck,"",157,"",2,""
5631,2015Q2,S08000028,S08000031,"",Ovarian,"",157,"",158,""
5632,2015Q2,S08000028,S08000031,"",All Cancer Types,d,352,"",265,""
5633,2015Q2,S08000028,S92000003,d,Colorectal,"",260,"",158,""
5634,2015Q2,S08000028,S92000003,d,Head & Neck,"",352,"",265,""
5635,2015Q2,S08000028,S92000003,d,Lung,"",538,"",527,""
5636,2015Q2,S08000028,S92000003,d,Melanoma,"",157,"",158,""
5637,2015Q2,S08000028,S92000003,d,Ovarian,"",157,"",158,""
5638,2015Q2,S08000028,S92000003,d,Upper GI,"",352,"",353,""
5639,2015Q2,S08000028,S92000003,d,Urological,"",1,"",2,""
5640,2015Q2,S08000028,S92000003,d,All Cancer Types,d,198,"",179,""
5641,2015Q2,S08000028,SB0801,"",Lung,"",157,"",158,""
5642,2015Q2,S08000028,SB0801,"",All Cancer Types,d,157,"",158,""
5643,2015Q2,S08000029,S08000024,"",Cervical,"",1,"",2,""
5644,2015Q2,S08000029,S08000024,"",Colorectal,"",352,"",353,""
5645,2015Q2,S08000029,S08000024,"",Head & Neck,"",24,"",25,""
5646,2015Q2,S08000029,S08000024,"",Lung,"",218,"",221,""
5647,2015Q2,S08000029,S08000024,"",Lymphoma,"",1,"",2,""
5648,2015Q2,S08000029,S08000024,"",Ovarian,"",1,"",2,""
5649,2015Q2,S08000029,S08000024,"",Upper GI,"",572,"",562,""
5650,2015Q2,S08000029,S08000024,"",Urological,"",483,"",424,""
5651,2015Q2,S08000029,S08000024,"",All Cancer Types,d,484,"",476,""
5652,2015Q2,S08000029,S08000029,"",Breast,"",272,"",277,""
5653,2015Q2,S08000029,S08000029,"",Cervical,"",260,"",265,""
5654,2015Q2,S08000029,S08000029,"",Colorectal,"",394,"",389,""
5655,2015Q2,S08000029,S08000029,"",Head & Neck,"",352,"",353,""
5656,2015Q2,S08000029,S08000029,"",Lung,"",394,"",389,""
5657,2015Q2,S08000029,S08000029,"",Lymphoma,"",105,"",114,""
5658,2015Q2,S08000029,S08000029,"",Melanoma,"",13,"",14,""
5659,2015Q2,S08000029,S08000029,"",Ovarian,"",511,"",504,""
5660,2015Q2,S08000029,S08000029,"",Upper GI,"",137,"",140,""
5661,2015Q2,S08000029,S08000029,"",Urological,"",514,"",497,""
5662,2015Q2,S08000029,S08000029,"",All Cancer Types,d,213,"",209,""
5663,2015Q2,S08000029,S08000030,"",Lung,"",1,"",2,""
5664,2015Q2,S08000029,S08000030,"",Melanoma,"",157,"",2,""
5665,2015Q2,S08000029,S08000030,"",Urological,"",260,"",265,""
5666,2015Q2,S08000029,S08000030,"",All Cancer Types,d,483,"",424,""
5667,2015Q2,S08000029,S92000003,d,Breast,"",272,"",277,""
5668,2015Q2,S08000029,S92000003,d,Cervical,"",352,"",353,""
5669,2015Q2,S08000029,S92000003,d,Colorectal,"",424,"",425,""
5670,2015Q2,S08000029,S92000003,d,Head & Neck,"",105,"",114,""
5671,2015Q2,S08000029,S92000003,d,Lung,"",520,"",513,""
5672,2015Q2,S08000029,S92000003,d,Lymphoma,"",121,"",129,""
5673,2015Q2,S08000029,S92000003,d,Melanoma,"",35,"",25,""
5674,2015Q2,S08000029,S92000003,d,Ovarian,"",538,"",527,""
5675,2015Q2,S08000029,S92000003,d,Upper GI,"",228,"",232,""
5676,2015Q2,S08000029,S92000003,d,Urological,"",539,"",516,""
5677,2015Q2,S08000029,S92000003,d,All Cancer Types,d,282,"",281,""
5678,2015Q2,S08000030,S08000020,"",Lung,"",157,"",2,""
5679,2015Q2,S08000030,S08000020,"",All Cancer Types,d,157,"",2,""
5680,2015Q2,S08000030,S08000024,"",Lung,"",157,"",158,""
5681,2015Q2,S08000030,S08000024,"",Upper GI,"",1,"",2,""
5682,2015Q2,S08000030,S08000024,"",All Cancer Types,d,260,"",265,""
5683,2015Q2,S08000030,S08000030,"",Breast,"",3,"",581,""
5684,2015Q2,S08000030,S08000030,"",Cervical,"",511,"",504,""
5685,2015Q2,S08000030,S08000030,"",Colorectal,"",512,"",505,""
5686,2015Q2,S08000030,S08000030,"",Head & Neck,"",239,"",210,""
5687,2015Q2,S08000030,S08000030,"",Lung,"",545,"",525,""
5688,2015Q2,S08000030,S08000030,"",Lymphoma,"",148,"",150,""
5689,2015Q2,S08000030,S08000030,"",Melanoma,"",330,"",329,""
5690,2015Q2,S08000030,S08000030,"",Ovarian,"",423,"",424,""
5691,2015Q2,S08000030,S08000030,"",Upper GI,"",455,"",455,""
5692,2015Q2,S08000030,S08000030,"",Urological,"",10,"",580,""
5693,2015Q2,S08000030,S08000030,"",All Cancer Types,d,430,"",420,""
5694,2015Q2,S08000030,S92000003,d,Breast,"",3,"",581,""
5695,2015Q2,S08000030,S92000003,d,Cervical,"",511,"",504,""
5696,2015Q2,S08000030,S92000003,d,Colorectal,"",512,"",505,""
5697,2015Q2,S08000030,S92000003,d,Head & Neck,"",239,"",210,""
5698,2015Q2,S08000030,S92000003,d,Lung,"",558,"",534,""
5699,2015Q2,S08000030,S92000003,d,Lymphoma,"",148,"",150,""
5700,2015Q2,S08000030,S92000003,d,Melanoma,"",330,"",329,""
5701,2015Q2,S08000030,S92000003,d,Ovarian,"",423,"",424,""
5702,2015Q2,S08000030,S92000003,d,Upper GI,"",461,"",459,""
5703,2015Q2,S08000030,S92000003,d,Urological,"",10,"",580,""
5704,2015Q2,S08000030,S92000003,d,All Cancer Types,d,436,"",423,""
5705,2015Q2,S08000031,S08000024,"",Upper GI,"",423,"",353,""
5706,2015Q2,S08000031,S08000024,"",Urological,"",1,"",2,""
5707,2015Q2,S08000031,S08000024,"",All Cancer Types,d,483,"",424,""
5708,2015Q2,S08000031,S08000031,"",Breast,"",252,"",230,""
5709,2015Q2,S08000031,S08000031,"",Cervical,"",35,"",38,""
5710,2015Q2,S08000031,S08000031,"",Colorectal,"",140,"",141,""
5711,2015Q2,S08000031,S08000031,"",Head & Neck,"",573,"",553,""
5712,2015Q2,S08000031,S08000031,"",Lung,"",224,"",225,""
5713,2015Q2,S08000031,S08000031,"",Lymphoma,"",474,"",474,""
5714,2015Q2,S08000031,S08000031,"",Melanoma,"",558,"",553,""
5715,2015Q2,S08000031,S08000031,"",Ovarian,"",250,"",254,""
5716,2015Q2,S08000031,S08000031,"",Upper GI,"",25,"",22,""
5717,2015Q2,S08000031,S08000031,"",Urological,"",227,"",198,""
5718,2015Q2,S08000031,S08000031,"",All Cancer Types,d,54,"",48,""
5719,2015Q2,S08000031,S08000032,"",Breast,"",538,"",527,""
5720,2015Q2,S08000031,S08000032,"",All Cancer Types,d,538,"",527,""
5721,2015Q2,S08000031,S92000003,d,Breast,"",259,"",239,""
5722,2015Q2,S08000031,S92000003,d,Cervical,"",35,"",38,""
5723,2015Q2,S08000031,S92000003,d,Colorectal,"",140,"",141,""
5724,2015Q2,S08000031,S92000003,d,Head & Neck,"",573,"",553,""
5725,2015Q2,S08000031,S92000003,d,Lung,"",285,"",286,""
5726,2015Q2,S08000031,S92000003,d,Lymphoma,"",474,"",474,""
5727,2015Q2,S08000031,S92000003,d,Melanoma,"",558,"",553,""
5728,2015Q2,S08000031,S92000003,d,Ovarian,"",250,"",254,""
5729,2015Q2,S08000031,S92000003,d,Upper GI,"",30,"",27,""
5730,2015Q2,S08000031,S92000003,d,Urological,"",229,"",200,""
5731,2015Q2,S08000031,S92000003,d,All Cancer Types,d,74,"",71,""
5732,2015Q2,S08000031,SB0801,"",Lung,"",461,"",459,""
5733,2015Q2,S08000031,SB0801,"",All Cancer Types,d,461,"",459,""
5734,2015Q2,S08000032,S08000024,"",Upper GI,"",1,"",2,""
5735,2015Q2,S08000032,S08000024,"",Urological,"",352,"",353,""
5736,2015Q2,S08000032,S08000024,"",All Cancer Types,d,423,"",424,""
5737,2015Q2,S08000032,S08000031,"",Breast,"",352,"",353,""
5738,2015Q2,S08000032,S08000031,"",Cervical,"",483,"",479,""
5739,2015Q2,S08000032,S08000031,"",Colorectal,"",483,"",424,""
5740,2015Q2,S08000032,S08000031,"",Head & Neck,"",511,"",504,""
5741,2015Q2,S08000032,S08000031,"",Lung,"",228,"",232,""
5742,2015Q2,S08000032,S08000031,"",Lymphoma,"",157,"",158,""
5743,2015Q2,S08000032,S08000031,"",Melanoma,"",260,"",265,""
5744,2015Q2,S08000032,S08000031,"",Ovarian,"",2,"",3,""
5745,2015Q2,S08000032,S08000031,"",Upper GI,"",538,"",527,""
5746,2015Q2,S08000032,S08000031,"",Urological,"",572,"",562,""
5747,2015Q2,S08000032,S08000031,"",All Cancer Types,d,545,"",534,""
5748,2015Q2,S08000032,S08000032,"",Breast,"",509,"",498,""
5749,2015Q2,S08000032,S08000032,"",Cervical,"",352,"",353,""
5750,2015Q2,S08000032,S08000032,"",Colorectal,"",493,"",486,""
5751,2015Q2,S08000032,S08000032,"",Head & Neck,"",167,"",168,""
5752,2015Q2,S08000032,S08000032,"",Lung,"",501,"",492,""
5753,2015Q2,S08000032,S08000032,"",Lymphoma,"",81,"",97,""
5754,2015Q2,S08000032,S08000032,"",Melanoma,"",239,"",232,""
5755,2015Q2,S08000032,S08000032,"",Ovarian,"",260,"",265,""
5756,2015Q2,S08000032,S08000032,"",Upper GI,"",381,"",375,""
5757,2015Q2,S08000032,S08000032,"",Urological,"",558,"",516,""
5758,2015Q2,S08000032,S08000032,"",All Cancer Types,d,351,"",342,""
5759,2015Q2,S08000032,S92000003,d,Breast,"",520,"",510,""
5760,2015Q2,S08000032,S92000003,d,Cervical,"",2,"",3,""
5761,2015Q2,S08000032,S92000003,d,Colorectal,"",508,"",497,""
5762,2015Q2,S08000032,S92000003,d,Head & Neck,"",239,"",243,""
5763,2015Q2,S08000032,S92000003,d,Lung,"",14,"",15,""
5764,2015Q2,S08000032,S92000003,d,Lymphoma,"",121,"",129,""
5765,2015Q2,S08000032,S92000003,d,Melanoma,"",272,"",266,""
5766,2015Q2,S08000032,S92000003,d,Ovarian,"",35,"",38,""
5767,2015Q2,S08000032,S92000003,d,Upper GI,"",447,"",450,""
5768,2015Q2,S08000032,S92000003,d,Urological,"",593,"",557,""
5769,2015Q2,S08000032,S92000003,d,All Cancer Types,d,426,"",416,""
5770,2015Q2,S08000032,SB0801,"",Lung,"",137,"",140,""
5771,2015Q2,S08000032,SB0801,"",All Cancer Types,d,137,"",140,""
5772,2015Q3,S08000015,S08000015,"",Breast,"",541,"",534,""
5773,2015Q3,S08000015,S08000015,"",Cervical,"",1,"",2,""
5774,2015Q3,S08000015,S08000015,"",Colorectal,"",405,"",399,""
5775,2015Q3,S08000015,S08000015,"",Head & Neck,"",572,"",562,""
5776,2015Q3,S08000015,S08000015,"",Lung,"",353,"",354,""
5777,2015Q3,S08000015,S08000015,"",Lymphoma,"",148,"",150,""
5778,2015Q3,S08000015,S08000015,"",Melanoma,"",177,"",179,""
5779,2015Q3,S08000015,S08000015,"",Ovarian,"",538,"",527,""
5780,2015Q3,S08000015,S08000015,"",Upper GI,"",283,"",288,""
5781,2015Q3,S08000015,S08000015,"",Urological,"",539,"",526,""
5782,2015Q3,S08000015,S08000015,"",All Cancer Types,d,301,"",306,""
5783,2015Q3,S08000015,S08000017,"",Breast,"",157,"",158,""
5784,2015Q3,S08000015,S08000017,"",All Cancer Types,d,157,"",158,""
5785,2015Q3,S08000015,S08000031,"",Cervical,"",352,"",353,""
5786,2015Q3,S08000015,S08000031,"",Colorectal,"",572,"",562,""
5787,2015Q3,S08000015,S08000031,"",Head & Neck,"",538,"",527,""
5788,2015Q3,S08000015,S08000031,"",Lung,"",167,"",168,""
5789,2015Q3,S08000015,S08000031,"",Lymphoma,"",157,"",158,""
5790,2015Q3,S08000015,S08000031,"",Melanoma,"",423,"",424,""
5791,2015Q3,S08000015,S08000031,"",Ovarian,"",511,"",504,""
5792,2015Q3,S08000015,S08000031,"",Upper GI,"",167,"",159,""
5793,2015Q3,S08000015,S08000031,"",Urological,"",511,"",479,""
5794,2015Q3,S08000015,S08000031,"",All Cancer Types,d,553,"",536,""
5795,2015Q3,S08000015,S92000003,d,Breast,"",550,"",537,""
5796,2015Q3,S08000015,S92000003,d,Cervical,"",423,"",424,""
5797,2015Q3,S08000015,S92000003,d,Colorectal,"",471,"",462,""
5798,2015Q3,S08000015,S92000003,d,Head & Neck,"",121,"",129,""
5799,2015Q3,S08000015,S92000003,d,Lung,"",507,"",497,""
5800,2015Q3,S08000015,S92000003,d,Lymphoma,"",167,"",168,""
5801,2015Q3,S08000015,S92000003,d,Melanoma,"",228,"",232,""
5802,2015Q3,S08000015,S92000003,d,Ovarian,"",81,"",97,""
5803,2015Q3,S08000015,S92000003,d,Upper GI,"",447,"",441,""
5804,2015Q3,S08000015,S92000003,d,Urological,"",560,"",548,""
5805,2015Q3,S08000015,S92000003,d,All Cancer Types,d,378,"",368,""
5806,2015Q3,S08000015,SB0801,"",Lung,"",483,"",479,""
5807,2015Q3,S08000015,SB0801,"",All Cancer Types,d,483,"",479,""
5808,2015Q3,S08000016,S08000016,"",Breast,"",105,"",114,""
5809,2015Q3,S08000016,S08000016,"",Colorectal,"",121,"",129,""
5810,2015Q3,S08000016,S08000016,"",Head & Neck,"",157,"",158,""
5811,2015Q3,S08000016,S08000016,"",Lung,"",137,"",140,""
5812,2015Q3,S08000016,S08000016,"",Lymphoma,"",511,"",504,""
5813,2015Q3,S08000016,S08000016,"",Melanoma,"",423,"",424,""
5814,2015Q3,S08000016,S08000016,"",Ovarian,"",1,"",2,""
5815,2015Q3,S08000016,S08000016,"",Upper GI,"",24,"",25,""
5816,2015Q3,S08000016,S08000016,"",Urological,"",483,"",479,""
5817,2015Q3,S08000016,S08000016,"",All Cancer Types,d,553,"",542,""
5818,2015Q3,S08000016,S08000024,"",Breast,"",157,"",158,""
5819,2015Q3,S08000016,S08000024,"",Head & Neck,"",260,"",265,""
5820,2015Q3,S08000016,S08000024,"",Lung,"",352,"",353,""
5821,2015Q3,S08000016,S08000024,"",Lymphoma,"",1,"",2,""
5822,2015Q3,S08000016,S08000024,"",Upper GI,"",483,"",479,""
5823,2015Q3,S08000016,S08000024,"",Urological,"",24,"",3,""
5824,2015Q3,S08000016,S08000024,"",All Cancer Types,d,239,"",221,""
5825,2015Q3,S08000016,S92000003,d,Breast,"",137,"",140,""
5826,2015Q3,S08000016,S92000003,d,Colorectal,"",121,"",129,""
5827,2015Q3,S08000016,S92000003,d,Head & Neck,"",423,"",424,""
5828,2015Q3,S08000016,S92000003,d,Lung,"",177,"",179,""
5829,2015Q3,S08000016,S92000003,d,Lymphoma,"",538,"",527,""
5830,2015Q3,S08000016,S92000003,d,Melanoma,"",423,"",424,""
5831,2015Q3,S08000016,S92000003,d,Ovarian,"",1,"",2,""
5832,2015Q3,S08000016,S92000003,d,Upper GI,"",137,"",140,""
5833,2015Q3,S08000016,S92000003,d,Urological,"",137,"",114,""
5834,2015Q3,S08000016,S92000003,d,All Cancer Types,d,16,"",15,""
5835,2015Q3,S08000017,S08000017,"",Breast,"",218,"",221,""
5836,2015Q3,S08000017,S08000017,"",Cervical,"",1,"",2,""
5837,2015Q3,S08000017,S08000017,"",Colorectal,"",198,"",179,""
5838,2015Q3,S08000017,S08000017,"",Head & Neck,"",157,"",158,""
5839,2015Q3,S08000017,S08000017,"",Lung,"",158,"",159,""
5840,2015Q3,S08000017,S08000017,"",Lymphoma,"",572,"",562,""
5841,2015Q3,S08000017,S08000017,"",Melanoma,"",483,"",479,""
5842,2015Q3,S08000017,S08000017,"",Ovarian,"",1,"",2,""
5843,2015Q3,S08000017,S08000017,"",Upper GI,"",158,"",159,""
5844,2015Q3,S08000017,S08000017,"",Urological,"",292,"",288,""
5845,2015Q3,S08000017,S08000017,"",All Cancer Types,d,58,"",63,""
5846,2015Q3,S08000017,S08000024,"",Colorectal,"",1,"",2,""
5847,2015Q3,S08000017,S08000024,"",Head & Neck,"",260,"",265,""
5848,2015Q3,S08000017,S08000024,"",Lung,"",352,"",353,""
5849,2015Q3,S08000017,S08000024,"",Upper GI,"",538,"",527,""
5850,2015Q3,S08000017,S08000024,"",Urological,"",105,"",14,""
5851,2015Q3,S08000017,S08000024,"",All Cancer Types,d,283,"",232,""
5852,2015Q3,S08000017,S08000031,"",Head & Neck,"",157,"",158,""
5853,2015Q3,S08000017,S08000031,"",Lymphoma,"",1,"",2,""
5854,2015Q3,S08000017,S08000031,"",Upper GI,"",1,"",2,""
5855,2015Q3,S08000017,S08000031,"",All Cancer Types,d,352,"",353,""
5856,2015Q3,S08000017,S92000003,d,Breast,"",218,"",221,""
5857,2015Q3,S08000017,S92000003,d,Cervical,"",1,"",2,""
5858,2015Q3,S08000017,S92000003,d,Colorectal,"",209,"",190,""
5859,2015Q3,S08000017,S92000003,d,Head & Neck,"",511,"",504,""
5860,2015Q3,S08000017,S92000003,d,Lung,"",272,"",277,""
5861,2015Q3,S08000017,S92000003,d,Lymphoma,"",2,"",3,""
5862,2015Q3,S08000017,S92000003,d,Melanoma,"",483,"",479,""
5863,2015Q3,S08000017,S92000003,d,Ovarian,"",1,"",2,""
5864,2015Q3,S08000017,S92000003,d,Upper GI,"",250,"",254,""
5865,2015Q3,S08000017,S92000003,d,Urological,"",415,"",369,""
5866,2015Q3,S08000017,S92000003,d,All Cancer Types,d,143,"",137,""
5867,2015Q3,S08000017,SB0801,"",Lung,"",511,"",504,""
5868,2015Q3,S08000017,SB0801,"",All Cancer Types,d,511,"",504,""
5869,2015Q3,S08000019,S08000019,"",Breast,"",283,"",277,""
5870,2015Q3,S08000019,S08000019,"",Colorectal,"",321,"",323,""
5871,2015Q3,S08000019,S08000019,"",Head & Neck,"",483,"",424,""
5872,2015Q3,S08000019,S08000019,"",Lung,"",198,"",199,""
5873,2015Q3,S08000019,S08000019,"",Lymphoma,"",81,"",97,""
5874,2015Q3,S08000019,S08000019,"",Melanoma,"",35,"",25,""
5875,2015Q3,S08000019,S08000019,"",Upper GI,"",177,"",179,""
5876,2015Q3,S08000019,S08000019,"",Urological,"",524,"",516,""
5877,2015Q3,S08000019,S08000019,"",All Cancer Types,d,181,"",180,""
5878,2015Q3,S08000019,S08000024,"",Upper GI,"",157,"",158,""
5879,2015Q3,S08000019,S08000024,"",All Cancer Types,d,157,"",158,""
5880,2015Q3,S08000019,S08000031,"",Cervical,"",1,"",2,""
5881,2015Q3,S08000019,S08000031,"",Colorectal,"",260,"",265,""
5882,2015Q3,S08000019,S08000031,"",Head & Neck,"",24,"",3,""
5883,2015Q3,S08000019,S08000031,"",Lung,"",483,"",479,""
5884,2015Q3,S08000019,S08000031,"",Lymphoma,"",260,"",265,""
5885,2015Q3,S08000019,S08000031,"",Ovarian,"",157,"",158,""
5886,2015Q3,S08000019,S08000031,"",Upper GI,"",53,"",68,""
5887,2015Q3,S08000019,S08000031,"",All Cancer Types,d,359,"",346,""
5888,2015Q3,S08000019,S08000032,"",Head & Neck,"",1,"",2,""
5889,2015Q3,S08000019,S08000032,"",All Cancer Types,d,1,"",2,""
5890,2015Q3,S08000019,S92000003,d,Breast,"",283,"",277,""
5891,2015Q3,S08000019,S92000003,d,Cervical,"",1,"",2,""
5892,2015Q3,S08000019,S92000003,d,Colorectal,"",346,"",346,""
5893,2015Q3,S08000019,S92000003,d,Head & Neck,"",148,"",114,""
5894,2015Q3,S08000019,S92000003,d,Lung,"",353,"",354,""
5895,2015Q3,S08000019,S92000003,d,Lymphoma,"",137,"",140,""
5896,2015Q3,S08000019,S92000003,d,Melanoma,"",35,"",25,""
5897,2015Q3,S08000019,S92000003,d,Ovarian,"",157,"",158,""
5898,2015Q3,S08000019,S92000003,d,Upper GI,"",337,"",338,""
5899,2015Q3,S08000019,S92000003,d,Urological,"",524,"",516,""
5900,2015Q3,S08000019,S92000003,d,All Cancer Types,d,236,"",235,""
5901,2015Q3,S08000019,SB0801,"",Lung,"",2,"",3,""
5902,2015Q3,S08000019,SB0801,"",All Cancer Types,d,2,"",3,""
5903,2015Q3,S08000020,S08000020,"",Breast,"",36,"",27,""
5904,2015Q3,S08000020,S08000020,"",Cervical,"",13,"",3,""
5905,2015Q3,S08000020,S08000020,"",Colorectal,"",553,"",536,""
5906,2015Q3,S08000020,S08000020,"",Head & Neck,"",310,"",307,""
5907,2015Q3,S08000020,S08000020,"",Lung,"",568,"",560,""
5908,2015Q3,S08000020,S08000020,"",Lymphoma,"",239,"",221,""
5909,2015Q3,S08000020,S08000020,"",Melanoma,"",239,"",232,""
5910,2015Q3,S08000020,S08000020,"",Ovarian,"",137,"",140,""
5911,2015Q3,S08000020,S08000020,"",Upper GI,"",484,"",474,""
5912,2015Q3,S08000020,S08000020,"",Urological,"",26,"",580,""
5913,2015Q3,S08000020,S08000020,"",All Cancer Types,d,486,"",465,""
5914,2015Q3,S08000020,S08000024,"",Urological,"",1,"",2,""
5915,2015Q3,S08000020,S08000024,"",All Cancer Types,d,1,"",2,""
5916,2015Q3,S08000020,S08000025,"",Urological,"",1,"",2,""
5917,2015Q3,S08000020,S08000025,"",All Cancer Types,d,1,"",2,""
5918,2015Q3,S08000020,S92000003,d,Breast,"",36,"",27,""
5919,2015Q3,S08000020,S92000003,d,Cervical,"",13,"",3,""
5920,2015Q3,S08000020,S92000003,d,Colorectal,"",553,"",536,""
5921,2015Q3,S08000020,S92000003,d,Head & Neck,"",310,"",307,""
5922,2015Q3,S08000020,S92000003,d,Lung,"",568,"",560,""
5923,2015Q3,S08000020,S92000003,d,Lymphoma,"",239,"",221,""
5924,2015Q3,S08000020,S92000003,d,Melanoma,"",239,"",232,""
5925,2015Q3,S08000020,S92000003,d,Ovarian,"",137,"",140,""
5926,2015Q3,S08000020,S92000003,d,Upper GI,"",484,"",474,""
5927,2015Q3,S08000020,S92000003,d,Urological,"",28,"",4,""
5928,2015Q3,S08000020,S92000003,d,All Cancer Types,d,487,"",467,""
5929,2015Q3,S08000022,S08000020,"",Lung,"",157,"",158,""
5930,2015Q3,S08000022,S08000020,"",Lymphoma,"",1,"",2,""
5931,2015Q3,S08000022,S08000020,"",Urological,"",352,"",1,""
5932,2015Q3,S08000022,S08000020,"",All Cancer Types,d,511,"",265,""
5933,2015Q3,S08000022,S08000022,"",Breast,"",536,"",526,""
5934,2015Q3,S08000022,S08000022,"",Cervical,"",157,"",158,""
5935,2015Q3,S08000022,S08000022,"",Colorectal,"",394,"",375,""
5936,2015Q3,S08000022,S08000022,"",Head & Neck,"",24,"",3,""
5937,2015Q3,S08000022,S08000022,"",Lung,"",359,"",329,""
5938,2015Q3,S08000022,S08000022,"",Lymphoma,"",121,"",129,""
5939,2015Q3,S08000022,S08000022,"",Melanoma,"",24,"",25,""
5940,2015Q3,S08000022,S08000022,"",Ovarian,"",352,"",265,""
5941,2015Q3,S08000022,S08000022,"",Upper GI,"",370,"",357,""
5942,2015Q3,S08000022,S08000022,"",Urological,"",493,"",455,""
5943,2015Q3,S08000022,S08000022,"",All Cancer Types,d,280,"",264,""
5944,2015Q3,S08000022,S08000024,"",Upper GI,"",1,"",2,""
5945,2015Q3,S08000022,S08000024,"",All Cancer Types,d,1,"",2,""
5946,2015Q3,S08000022,S08000028,"",Breast,"",1,"",2,""
5947,2015Q3,S08000022,S08000028,"",Urological,"",352,"",353,""
5948,2015Q3,S08000022,S08000028,"",All Cancer Types,d,423,"",424,""
5949,2015Q3,S08000022,S08000031,"",Breast,"",1,"",2,""
5950,2015Q3,S08000022,S08000031,"",Lung,"",1,"",2,""
5951,2015Q3,S08000022,S08000031,"",Upper GI,"",1,"",2,""
5952,2015Q3,S08000022,S08000031,"",All Cancer Types,d,260,"",265,""
5953,2015Q3,S08000022,S92000003,d,Breast,"",541,"",534,""
